BETROFFENE_ANLAGE;massnahmen;arbeit_mwh;pmax_mw;primaerenergie;kumuliert
BAG NWAK-Cluster 15 Pleinting;85;102508,75;550,0;Erneuerbar;0,7642009767129504
UW Emden-Ost;71;98035,28;1114,0;Erneuerbar;0,7701363353525315
50H_EDIS_CR_PAS;59;93136,0;600,0;Erneuerbar;0,7757750764491655
NIEDERAUSSEM_H;49;91847,0;611,0;Konventionell;0,7813357775046387
Schkopau;195;91026,0;463,0;Konventionell;0,7868467726843995
50H OWP Baltic Eagle;189;81350,0;463,0;Erneuerbar;0,7917719529392009
NIEHL-31-GUD;214;80727,0;406,0;Konventionell;0,7966594148498259
50H OWP Wikinger;191;80109,0;348,0;Erneuerbar;0,8015094611317176
Datteln_4;96;79757,0;610,0;Konventionell;0,8063381962464341
SHN Cluster Süderdonn T411;91;79632,92;366,84;Erneuerbar;0,8111594191747216
50H UW Bertikow;264;79455,0;436,0;Erneuerbar;0,8159698702766913
Netzreservekraftwerk KMW 2 DT;46;78203,0;250,0;Konventionell;0,8207045214317771
UW Diele;85;76737,4;1125,0;Erneuerbar;0,8253504406362614
50H OWP Arkona;183;76621,0;371,0;Erneuerbar;0,8299893126252367
Lippendorf EnBW;118;75631,0;426,0;Konventionell;0,8345682469565321
Rostock Kohlekraftwerk;108;75516,0;434,0;Konventionell;0,8391402188326424
Reservekraftwerk Altbach/Deizisau Block 1;44;73437,25;410,0;Konventionell;0,8435863367633973
Kiel (Küstenkraftwerk gesamt);84;73070,75;172,0;Konventionell;0,848010265652193
50H Hamburg Wedel1;116;72903,0;167,0;Konventionell;0,8524240384378818
SHN Cluster Handewitt T414 T415;67;71698,02;327,46;Erneuerbar;0,856764858012711
SW München KW-Pool;188;70223,0;422,0;Sonstiges;0,8610163753210442
ReserveKW Staudinger 4;36;67497,5;580,0;Konventionell;0,8651028824414924
AVA Cluster Sottrum T411 T413;39;63977,36;406,74;Erneuerbar;0,8689762694141576
SHN Cluster Husum Nord;75;63434,36;400,0;Erneuerbar;0,8728167814897317
SHN Cluster Süderdonn T412 T413;89;57800,49;300,0;Erneuerbar;0,8763162016749296
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4;29;57739,75;342,0;Konventionell;0,879811944472928
50H OWP Arcadis Ost 1;164;54462,0;247,0;Erneuerbar;0,8831092421623808
AVA Cluster Lehrte;53;52651,64;400,0;Erneuerbar;0,8862969350660184
BAG NWAK-Cluster 03 Bergrheinfeld-Schweinfurt;30;52062,5;600,0;Erneuerbar;0,8894489596144585
GUD_HERNE_6;76;51489,0;590,0;Konventionell;0,8925662627016061
Linden GKL GT 1;144;49173,88;105,0;Konventionell;0,8955434012735543
SHN Cluster Kiel Süd;45;48307,15;600,0;Erneuerbar;0,8984680653343499
AVA Cluster Ohlensehlen;27;47582,92;450,0;Erneuerbar;0,9013488822741138
SHN Cluster Heide West T413;79;47525,22;271,0;Erneuerbar;0,9042262058776676
ReserveKW Zolling 5;35;46491,75;400,0;Konventionell;0,9070409600154814
EE Niedersachsen;92;45902,5;130,0;Erneuerbar;0,9098200391383581
SHN Cluster Klixbüll;56;45658,79;400,0;Erneuerbar;0,9125843633051205
BAG NWAK-Cluster 16 Regensburg-Sittling;43;45387,5;400,0;Erneuerbar;0,915332262737386
50H UW Schönewalde;181;44929,0;280,0;Erneuerbar;0,9180524031635442
AVA Cluster Alfstedt;19;41078,51;750,0;Erneuerbar;0,9205394230326119
Linden GKL GT 3;116;38547,25;75,0;Konventionell;0,9228731926033173
50H Berlin Lichterfelde;85;37781,0;163,0;Konventionell;0,9251605710324096
Grosskraftwerk Mannheim Block 7;33;36474,0;375,0;Konventionell;0,9273688196447467
EE Bayern;46;36306,25;1000,0;Erneuerbar;0,929566912153977
Gebersdorf 2;32;34642,25;420,0;Konventionell;0,9316642609638343
